experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.01,multiclass,Random Forest,100,2,9,10,100,0.236363636
1.01,multiclass,Random Forest,100,2,9,10,140,0.236363636
1.01,multiclass,Random Forest,100,2,9,10,180,0.236363636
1.01,multiclass,Random Forest,100,2,9,14,20,0.236363636
1.01,multiclass,Random Forest,100,2,9,14,60,0.236363636
1.01,multiclass,Random Forest,100,2,9,14,100,0.236363636
1.01,multiclass,Random Forest,100,2,9,14,140,0.236363636
1.01,multiclass,Random Forest,100,2,9,14,180,0.236363636
1.01,multiclass,Random Forest,100,2,9,18,60,0.236363636
1.01,multiclass,Random Forest,100,2,9,18,100,0.236363636
1.01,multiclass,Random Forest,100,2,9,18,140,0.236363636
1.01,multiclass,Random Forest,100,2,9,18,180,0.236363636
1.01,multiclass,Random Forest,400,10,3,2,60,0.235294118
1.01,multiclass,Random Forest,400,10,5,6,20,0.235294118
1.01,multiclass,Random Forest,400,10,5,6,140,0.235294118
1.01,multiclass,Random Forest,400,10,5,14,140,0.235294118
1.01,multiclass,Random Forest,400,10,5,18,180,0.235294118
1.01,multiclass,Random Forest,400,10,7,6,20,0.235294118
1.01,multiclass,Random Forest,400,10,7,10,20,0.235294118
1.01,multiclass,Random Forest,400,10,7,14,20,0.235294118
1.01,multiclass,Random Forest,400,10,7,18,60,0.235294118
1.01,multiclass,Random Forest,100,10,3,2,100,0.233333333
1.01,multiclass,Random Forest,100,10,3,2,180,0.233333333
1.01,multiclass,Random Forest,100,10,5,2,60,0.233333333
1.01,multiclass,Random Forest,100,10,5,6,20,0.233333333
1.01,multiclass,Random Forest,100,10,5,10,100,0.233333333
1.01,multiclass,Random Forest,100,10,7,10,60,0.233333333
1.01,multiclass,Random Forest,100,10,7,10,180,0.233333333
1.01,multiclass,Random Forest,100,10,7,14,60,0.233333333
1.01,multiclass,Random Forest,100,10,7,14,180,0.233333333
1.01,multiclass,Random Forest,100,10,7,18,140,0.233333333
