experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
6.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.01,0.01,l2,10,100,0.231112765,species_recall
6.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.01,0.01,l2,100,100,0.183475996,species_recall
6.01,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.01,0.01,l2,0.1,100,0.257908448,species_recall
6.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,l2,1,100,0.408634164,species_recall
6.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,l2,10,100,0.304800893,species_recall
6.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,l2,100,100,0.307033867,species_recall
6.01,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.01,0.01,l2,0.1,100,0.484555266,species_recall
6.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,l2,1,100,0.634164496,species_recall
6.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,l2,10,100,0.280610346,species_recall
6.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,l2,100,100,0.397097134,species_recall
6.01,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.01,0.01,l2,0.1,100,0.735764793,species_recall
6.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,l2,1,100,0.570152587,species_recall
6.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,l2,10,100,0.227763305,species_recall
6.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,l2,100,100,0.237439524,species_recall
6.01,multiclass,Logistic Regression,"(5454, 38665)",100,100,6,0.01,0.01,l2,0.1,100,0.687383699,species_recall
6.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,l2,1,100,0.62672125,species_recall
6.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,l2,10,100,0.343505769,species_recall
6.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,l2,100,100,0.218087086,species_recall
6.01,multiclass,Logistic Regression,"(5454, 53604)",100,100,8,0.01,0.01,l2,0.1,100,0.658727205,species_recall
6.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,l2,1,100,0.509490138,species_recall
6.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,l2,10,100,0.221436546,species_recall
6.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,l2,100,100,0.219947897,species_recall
6.01,multiclass,Logistic Regression,"(5454, 48759)",100,100,10,0.01,0.01,l2,0.1,100,0.640491254,species_recall
6.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,l2,1,100,0.384071455,species_recall
6.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,l2,10,100,0.236695199,species_recall
6.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,l2,100,100,0.236695199,species_recall
6.01,multiclass,Logistic Regression,"(5454, 39395)",100,100,12,0.01,0.01,l2,0.1,100,0.63155936,species_recall
6.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,l2,1,100,0.171380722,species_recall
6.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,l2,10,100,0.171380722,species_recall
6.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,l2,100,100,0.171380722,species_recall
6.01,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.01,0.01,l2,0.1,100,0.171380722,species_recall
6.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,l2,1,100,0.298474135,species_recall
6.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,l2,10,100,0.326200223,species_recall
6.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,l2,100,100,0.275400074,species_recall
6.01,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.01,0.01,l2,0.1,100,0.465202828,species_recall
6.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,1,100,0.645143282,species_recall
6.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,10,100,0.301637514,species_recall
6.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,100,100,0.418682546,species_recall
6.01,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,0.1,100,0.893003349,species_recall
6.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,l2,1,100,0.684964645,species_recall
6.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,l2,10,100,0.240788984,species_recall
6.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,l2,100,100,0.251953852,species_recall
6.01,multiclass,Logistic Regression,"(10908, 43939)",100,200,6,0.01,0.01,l2,0.1,100,0.869371046,species_recall
6.01,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.01,0.01,l2,1,100,0.767770748,species_recall
6.01,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.01,0.01,l2,10,100,0.240788984,species_recall
6.01,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.01,0.01,l2,100,100,0.240788984,species_recall
6.01,multiclass,Logistic Regression,"(10908, 68550)",100,200,8,0.01,0.01,l2,0.1,100,0.835132118,species_recall
6.01,multiclass,Logistic Regression,"(10908, 63875)",100,200,10,0.01,0.01,l2,1,100,0.694268701,species_recall
6.01,multiclass,Logistic Regression,"(10908, 63875)",100,200,10,0.01,0.01,l2,10,100,0.237625605,species_recall
6.01,multiclass,Logistic Regression,"(10908, 63875)",100,200,10,0.01,0.01,l2,100,100,0.242091552,species_recall
6.01,multiclass,Logistic Regression,"(10908, 63875)",100,200,10,0.01,0.01,l2,0.1,100,0.83066617,species_recall
6.01,multiclass,Logistic Regression,"(10908, 51766)",100,200,12,0.01,0.01,l2,1,100,0.418124302,species_recall
6.01,multiclass,Logistic Regression,"(10908, 51766)",100,200,12,0.01,0.01,l2,10,100,0.205991812,species_recall
6.01,multiclass,Logistic Regression,"(10908, 51766)",100,200,12,0.01,0.01,l2,100,100,0.232787495,species_recall
6.01,multiclass,Logistic Regression,"(10908, 51766)",100,200,12,0.01,0.01,l2,0.1,100,0.835690361,species_recall
6.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,l2,1,100,0.180515493,species_recall
6.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,l2,10,100,0.180515493,species_recall
6.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,l2,100,100,0.180515493,species_recall
6.01,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.01,0.01,l2,0.1,100,0.180515493,species_recall
6.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,l2,1,100,0.478273006,species_recall
6.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,l2,10,100,0.257188052,species_recall
