experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.02,multiclass,Logistic Regression (sklearn),"(10908, 400)",100,200,1,l2,auto,none,lbfgs,0.501488649,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 800)",100,200,2,l2,auto,none,lbfgs,0.645143282,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 6400)",100,200,4,l2,auto,none,lbfgs,0.876814291,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 44476)",100,200,6,l2,auto,none,lbfgs,0.855414961,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 70514)",100,200,8,l2,auto,none,lbfgs,0.83717901,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 65876)",100,200,10,l2,auto,none,lbfgs,0.823036844,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(10908, 53414)",100,200,12,l2,auto,none,lbfgs,0.830107927,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(21817, 400)",100,400,1,l2,auto,none,lbfgs,0.523774076,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(21817, 800)",100,400,2,l2,auto,none,lbfgs,0.671164046,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(21817, 6400)",100,400,4,l2,auto,none,lbfgs,0.972178282,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(21817, 46685)",100,400,6,l2,auto,none,lbfgs,0.961570671,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(21817, 77708)",100,400,8,l2,auto,none,lbfgs,0.95933749,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(21817, 73435)",100,400,10,l2,auto,none,lbfgs,0.952730995,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(21817, 59640)",100,400,12,l2,auto,none,lbfgs,0.956732111,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(29, 800)",200,1,1,l2,auto,none,lbfgs,0.333333333,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(29, 1455)",200,1,2,l2,auto,none,lbfgs,0.4,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(29, 1954)",200,1,4,l2,auto,none,lbfgs,0.133333333,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(29, 1442)",200,1,6,l2,auto,none,lbfgs,0.066666667,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(29, 1099)",200,1,8,l2,auto,none,lbfgs,0.2,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(29, 880)",200,1,10,l2,auto,none,lbfgs,0.133333333,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(29, 704)",200,1,12,l2,auto,none,lbfgs,0.2,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 800)",200,10,1,l2,auto,none,lbfgs,0.451851852,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 1600)",200,10,2,l2,auto,none,lbfgs,0.518518519,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 9002)",200,10,4,l2,auto,none,lbfgs,0.325925926,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 11966)",200,10,6,l2,auto,none,lbfgs,0.274074074,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 9852)",200,10,8,l2,auto,none,lbfgs,0.288888889,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 7942)",200,10,10,l2,auto,none,lbfgs,0.237037037,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(274, 6358)",200,10,12,l2,auto,none,lbfgs,0.22962963,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 800)",200,100,1,l2,auto,none,lbfgs,0.572916667,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 1600)",200,100,2,l2,auto,none,lbfgs,0.630208333,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 12759)",200,100,4,l2,auto,none,lbfgs,0.660714286,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(2727, 60438)",200,100,6,l2,auto,none,lbfgs,0.601934524,species_recall
