taxid.species,sequence_length,n_species_samples,n_samples_coverage_1
782,4098576,9,
782,4124236,9,
782,4126292,9,
782,4138388,9,
782,4146839,9,
782,4174118,9,
782,4196170,9,
782,4207222,9,
782,4215606,9,
783,4215610,7,
783,4238624,7,
783,4242774,7,
783,4277185,7,
783,4305723,7,
783,4326849,7,
783,4338762,7,
78331,4345492,4,
78331,4350386,4,
78331,4352825,4,
78331,4369232,4,
785,4371711,2,
785,4374522,2,
788,4376305,1,
79967,4380119,5,
79967,4381608,5,
79967,4390306,5,
79967,4391174,5,
79967,4392353,5,
803,4392876,1,
813,4394985,110,
813,4398250,110,
813,4398525,110,
813,4398812,110,
813,4399120,110,
813,4403837,110,
813,4404786,110,
813,4405981,110,
813,4406587,110,
813,4408224,110,
813,4411128,110,
813,4411532,110,
813,4411709,110,
813,4414325,110,
813,4418088,110,
813,4419977,110,
813,4424435,110,
813,4432426,110,
813,4482059,110,
813,4513324,110,
813,4517345,110,
813,4524466,110,
813,4525948,110,
813,4532063,110,
813,4534590,110,
813,4537948,110,
813,4547930,110,
813,4552107,110,
813,4553420,110,
813,4553586,110,
813,4553770,110,
813,4555536,110,
813,4567418,110,
813,4574284,110,
813,4575057,110,
813,4595065,110,
813,4600755,110,
813,4605545,110,
813,4607202,110,
813,4615997,110,
813,4626944,110,
813,4640720,110,
813,4650856,110,
813,4653728,110,
813,4689441,110,
813,4702289,110,
813,4703373,110,
813,4709064,110,
813,4723306,110,
813,4726582,110,
813,4734438,110,
813,4744671,110,
813,4767043,110,
813,4825265,110,
813,4829424,110,
813,4829781,110,
813,4831739,110,
813,4840251,110,
813,4858216,110,
813,4862913,110,
813,4887379,110,
813,4908759,110,
813,4940217,110,
813,4941214,110,
813,4941439,110,
813,4968248,110,
813,5024500,110,
813,5029329,110,
813,5066051,110,
813,5067172,110,
813,5068807,110,
813,5076188,110,
813,5083176,110,
813,5091817,110,
813,5097129,110,
813,5097447,110,
813,5127376,110,
813,5148708,110,
813,5166857,110,
813,5175554,110,
813,5214195,110,
813,5218947,110,
813,5221581,110,
813,5222906,110,
813,5224283,110,
813,5227293,110,
813,5227419,110,
813,5227419,110,
813,5228663,110,
813,5229686,110,
813,5237682,110,
813,5242964,110,
813,5248520,110,
813,5257091,110,
813,5259571,110,
813,5264383,110,
813,5269030,110,
813,5269628,110,
813,5270770,110,
813,5277274,110,
813,5279134,110,
813,5280350,110,
813,5288069,110,
813,5300915,110,
813,5302683,110,
813,5315120,110,
813,5328010,110,
813,5330088,110,
813,5333942,110,
813,5347283,110,
817,5355490,3,
817,5373121,3,
817,5386705,3,
82996,5387334,3,
82996,5394884,3,
82996,5402402,3,
83554,5409696,28,
83554,5411809,28,
83554,5419036,28,
83554,5434353,28,
83554,5467306,28,
83554,5471154,28,
83554,5486830,28,
