experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,25,20,0.67919613
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,10,25,0.67770748
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,20,25,0.677335318
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,10,40,0.67435802
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,10,35,0.671752884
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,20,20,0.671380722
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,15,20,0.670264235
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,10,45,0.66933383
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,10,30,0.667349028
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,15,25,0.667286937
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,10,40,0.662448828
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,20,20,0.662076665
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,10,20,0.660960179
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,10,20,0.65947153
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,10,30,0.65947153
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,10,25,0.655624826
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,10,35,0.655563826
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,10,30,0.652214365
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,10,20,0.647064297
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,25,45,0.647004094
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,25,45,0.646226854
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,25,40,0.64315623
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,25,40,0.642165984
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,25,35,0.640457802
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,15,20,0.637141794
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,25,35,0.636955713
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,25,30,0.636769632
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,10,25,0.636025307
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,10,25,0.633420171
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,25,40,0.631931522
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,25,45,0.630815035
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,25,30,0.629291895
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,25,25,0.62672125
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,25,25,0.62631432
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,10,40,0.624488277
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,10,20,0.623743952
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,10,45,0.621138817
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,25,35,0.619278005
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,10,20,0.615370301
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,20,45,0.615327381
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,20,40,0.613095238
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,10,45,0.61235119
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,25,20,0.612170838
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,10,35,0.61183476
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,25,20,0.61183476
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,20,45,0.60639881
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,10,35,0.604910714
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,25,45,0.603088947
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,10,30,0.602530703
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,15,45,0.601934524
